Country,ISO Code,Independence Date
NA, NA, 1700-01-01
Antigua and Barbuda,ATG,1981-11-01
Argentina,ARG,1816-07-09
Bahamas,BHS,1973-07-10
Barbados,BRB,1966-11-30
Belize,BLZ,1981-09-21
Bolivia,BOL,1825-08-06
Brazil,BRA,1822-09-07
Canada,CAN,1867-07-01
Chile,CHL,1810-08-18
Colombia,COL,1810-07-20
Costa Rica,CRI,1821-09-15
Cuba,CUB,1868-10-10
Dominica,DMA,1978-11-03
Dominican Republic,DOM,1844-02-27
Ecuador,ECU,1822-08-10
El Salvador,SLV,1821-09-15
Grenada,GRD,1974-02-07
Guatemala,GTM,1821-09-15
Guyana,GUY,1966-05-26
Haiti,HTI,1804-01-01
Honduras,HND,1821-09-15
Jamaica,JAM,1962-08-06
Mexico,MEX,1810-09-16
Nicaragua,NIC,1821-09-15
Panama,PAN,1903-11-03
Paraguay,PRY,1811-05-14
Peru,PER,1821-07-28
Saint Kitts and Nevis,KNA,1983-09-19
Saint Lucia,LCA,1979-02-22
Saint Vincent and the Grenadines,VCT,1979-10-27
Suriname,SUR,1975-11-25
Trinidad and Tobago,TTO,1962-08-31
United States,USA,1776-07-04
Uruguay,URY,1825-08-25
Venezuela,VEN,1811-07-05